rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,800,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,1600,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,3200,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,6400,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,12800,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,25600,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,51200,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,102400,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,204800,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b32_f05_02879,train,blitz,9,25,18,2,2836,8,119,quiesced,18
dup:124:interleave:1,124,6333431113f09bde,train_b32_f05_02879,train,blitz,9,50,18,2,2836,8,119,quiesced,18
dup:124:interleave:1,124,6333431113f09bde,train_b32_f05_02879,train,blitz,9,100,18,2,2836,8,119,quiesced,18
dup:124:interleave:1,124,6333431113f09bde,train_b32_f05_02879,train,blitz,9,200,18,2,2836,8,119,quiesced,18
dup:124:interleave:1,124,6333431113f09bde,train_b32_f05_02879,train,blitz,9,400,18,2,2836,8,119,quiesced,18
